2017-10-06 16:07:59,071 INFO [91388148]         SlotsBuilder.java:434  | Stack#6 endless loop detected
2017-10-06 16:07:59,076 INFO [91388148]         SlotsBuilder.java:434  | Stack#9 endless loop detected
2017-10-06 16:07:59,077 INFO [91388148]           PageRhythm.java:314  | Range{1-9 ts:3/4} Durations avgGuess:3/4 topGuess:1/4 avgValue:0.77 stacks:9 voices:25 Histogram{1/8-9/8 size:12 [1/8=1 3/16=3 1/4=5 5/16=1 3/8=3 1/2=1 9/16=1 5/8=2 3/4=4 13/16=1 1=2 9/8=1]}
2017-10-06 16:07:59,081 INFO [91388148]                Voice.java:257  | S4 MeasureStack#2 Voice #1 too long 1/4
2017-10-06 16:07:59,082 INFO [91388148]                Voice.java:257  | S4 MeasureStack#2 Voice #2 too long 3/8
2017-10-06 16:07:59,082 INFO [91388148]                Voice.java:257  | S4 MeasureStack#2 Voice #3 too long 1/4
2017-10-06 16:07:59,082 INFO [91388148]           StackTuner.java:92   | S4 MeasureStack#2 no correct rhythm
2017-10-06 16:07:59,084 INFO [91388148]         SlotsBuilder.java:427  | S4 MeasureStack#3 Slot{#5 xOffset=119 timeOffset=5/16 incomings=[#5104] SUSPICIOUS}
2017-10-06 16:07:59,086 INFO [91388148]         SlotsBuilder.java:427  | S4 MeasureStack#3 Slot{#7 xOffset=153 timeOffset=7/16 incomings=[#5105] SUSPICIOUS}
2017-10-06 16:07:59,087 INFO [91388148]         SlotsBuilder.java:427  | S4 MeasureStack#3 Slot{#9 xOffset=188 timeOffset=9/16 incomings=[#5106] SUSPICIOUS}
2017-10-06 16:07:59,087 INFO [91388148]         SlotsBuilder.java:427  | S4 MeasureStack#3 Slot{#11 xOffset=223 timeOffset=11/16 incomings=[#5107] SUSPICIOUS}
2017-10-06 16:07:59,088 INFO [91388148]                Voice.java:257  | S4 MeasureStack#3 Voice #3 too long 1/16
2017-10-06 16:07:59,088 INFO [91388148]           StackTuner.java:92   | S4 MeasureStack#3 no correct rhythm
2017-10-06 16:07:59,090 INFO [91388148]         SlotsBuilder.java:427  | S4 MeasureStack#4 Slot{#5 xOffset=110 timeOffset=3/8 incomings=[#5110] SUSPICIOUS}
2017-10-06 16:07:59,090 INFO [91388148]         SlotsBuilder.java:434  | Stack#4 endless loop detected
2017-10-06 16:07:59,092 INFO [91388148]         SlotsBuilder.java:434  | Stack#5 endless loop detected
2017-10-06 16:07:59,093 INFO [91388148]         SlotsBuilder.java:434  | Stack#6 endless loop detected
2017-10-06 16:07:59,095 INFO [91388148]         SlotsBuilder.java:427  | S5 MeasureStack#7 Slot{#7 xOffset=257 timeOffset=9/16 incomings=[#5167] SUSPICIOUS}
2017-10-06 16:07:59,096 INFO [91388148]         SlotsBuilder.java:427  | S5 MeasureStack#7 Slot{#9 xOffset=302 timeOffset=11/16 incomings=[#5168] SUSPICIOUS}
2017-10-06 16:07:59,096 INFO [91388148]                Voice.java:257  | S5 MeasureStack#7 Voice #1 too long 1/16
2017-10-06 16:07:59,096 INFO [91388148]           StackTuner.java:92   | S5 MeasureStack#7 no correct rhythm
2017-10-06 16:07:59,099 INFO [91388148]                Voice.java:257  | S5 MeasureStack#8 Voice #1 too long 1/16
2017-10-06 16:07:59,099 INFO [91388148]           StackTuner.java:92   | S5 MeasureStack#8 no correct rhythm
2017-10-06 16:07:59,100 INFO [91388148]         SlotsBuilder.java:434  | Stack#9 endless loop detected
2017-10-06 16:07:59,103 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:08:00,597 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:08:00,599 INFO [91388148]       StepMonitoring.java:96   | PAGE
2017-10-06 16:08:00,603 INFO [91388148]                 Part.java:267  | Could not left-connect slur#5254
2017-10-06 16:08:00,605 INFO [91388148]                Voice.java:257  | S2 MeasureStack#7 Voice #1 too long 1/8
2017-10-06 16:08:00,605 INFO [91388148]                Voice.java:257  | S2 MeasureStack#7 Voice #2 too long 1/8
2017-10-06 16:08:00,605 INFO [91388148]                Voice.java:257  | S2 MeasureStack#10 Voice #1 too long 1/4
2017-10-06 16:08:00,606 INFO [91388148]                Voice.java:257  | S2 MeasureStack#10 Voice #2 too long 1/16
2017-10-06 16:08:00,606 INFO [91388148]                Voice.java:257  | S3 MeasureStack#12 Voice #1 too long 1/16
2017-10-06 16:08:00,607 INFO [91388148]                Voice.java:257  | S4 MeasureStack#2 Voice #1 too long 1/4
2017-10-06 16:08:00,607 INFO [91388148]                Voice.java:257  | S4 MeasureStack#2 Voice #2 too long 3/8
2017-10-06 16:08:00,607 INFO [91388148]                Voice.java:257  | S4 MeasureStack#2 Voice #3 too long 1/4
2017-10-06 16:08:00,608 INFO [91388148]                Voice.java:257  | S4 MeasureStack#3 Voice #3 too long 1/16
2017-10-06 16:08:00,608 INFO [91388148]                Voice.java:257  | S5 MeasureStack#7 Voice #1 too long 1/16
2017-10-06 16:08:00,608 INFO [91388148]                Voice.java:257  | S5 MeasureStack#8 Voice #1 too long 1/16
2017-10-06 16:08:00,611 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:08:02,051 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:08:02,054 INFO [91388148]            BasicStub.java:723  | Sheet{91388148} disposed
2017-10-06 16:08:03,114 INFO [91388148]            BasicStub.java:449  | Loaded /sheet#1/sheet#1.xml
2017-10-06 16:08:03,116 INFO [91388148]            BasicBook.java:1133 | Scores built: 2
2017-10-06 16:08:04,200 WARN [91388148]      PartwiseBuilder.java:1379 | Error visiting null
java.lang.NullPointerException: null
	at org.audiveris.omr.score.PartwiseBuilder.processKey(PartwiseBuilder.java:1344)
	at org.audiveris.omr.score.PartwiseBuilder.processKeys(PartwiseBuilder.java:1407)
	at org.audiveris.omr.score.PartwiseBuilder.processMeasure(PartwiseBuilder.java:1575)
	at org.audiveris.omr.score.PartwiseBuilder.processPart(PartwiseBuilder.java:1988)
	at org.audiveris.omr.score.PartwiseBuilder.processSystem(PartwiseBuilder.java:2528)
	at org.audiveris.omr.score.PartwiseBuilder.processLogicalPart(PartwiseBuilder.java:1433)
	at org.audiveris.omr.score.PartwiseBuilder.processStub(PartwiseBuilder.java:2483)
	at org.audiveris.omr.score.PartwiseBuilder.processPartList(PartwiseBuilder.java:2017)
	at org.audiveris.omr.score.PartwiseBuilder.processScore(PartwiseBuilder.java:2195)
	at org.audiveris.omr.score.PartwiseBuilder.build(PartwiseBuilder.java:307)
	at org.audiveris.omr.score.ScoreExporter.export(ScoreExporter.java:117)
	at org.audiveris.omr.score.ScoreExporter.export(ScoreExporter.java:91)
	at org.audiveris.omr.sheet.BasicBook.export(BasicBook.java:589)
	at org.audiveris.omr.CLI$ProcessingTask.processBook(CLI.java:785)
	at org.audiveris.omr.CLI$CliTask.call(CLI.java:344)
	at org.audiveris.omr.Main.runBatchTasks(Main.java:316)
	at org.audiveris.omr.Main.main(Main.java:155)
	at Audiveris.main(Audiveris.java:49)
